,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
Bcl3,0.06673776,0.015916847,0.18668124,0.08007844,0.4248731,0.17705263,0.23530558,0.10633472,0.14579475,0.026917836,0.12849422,0.067248955
Relb,0.009528494,0.0,0.06113447,0.1989596,0.0992278,0.029441042,0.32497102,0.050532807,0.27521607,0.07718271,0.53040564,0.13575892
Mark4,0.1338537,0.01427969,0.035126813,0.18342079,0.11567161,0.23077355,0.31042323,0.027305283,0.0,0.07656162,0.07234648,0.097939976
Fosb,0.0,0.0,0.12560406,0.0,0.0,0.008318326,0.0,0.0,0.0,0.0,1.2784953,0.0
Ppm1n,0.014215518,0.05320741,0.03390489,0.31227407,0.16382018,0.0,0.0,0.0,0.08853267,0.0,0.056226976,0.0
Dmpk,0.055006232,0.022326281,0.0012186483,0.091567196,0.0,0.104196385,0.15662187,0.0,0.06744159,0.06318691,0.0,0.06212011
Dmwd,0.08821232,0.074370824,0.04865121,0.16191165,0.0,0.13413829,0.3621253,0.0,0.0024889202,0.056017336,0.106800474,0.06251448
Ptgir,0.0,0.0973031,0.0,0.0,0.45897576,0.004468964,0.0,0.053354643,0.0,0.85520726,0.0,0.0
Gng8,0.0,0.09015144,0.0,0.0,0.20508377,0.022114228,0.0,0.0,0.0,0.55877805,0.0,0.0
Slc1a5,0.13587429,0.038006194,0.089597456,0.0091524655,0.04194062,0.31333172,0.16365147,0.03854519,0.29795942,0.019007673,0.0,0.12640497
Bbc3,0.06726926,0.02751426,0.03619473,0.5366279,0.1726204,0.06914728,0.1192487,0.050760407,0.0,0.34571987,0.31318787,0.087875254
Inafm1,0.01009457,0.007121611,0.013027036,0.26199558,0.11956914,0.023159368,0.060834855,0.04047722,0.0907479,0.045469683,0.123618536,0.008746765
Ppp1r15a,0.035591166,0.02015344,0.171115,0.104723476,0.12026899,0.09466053,0.26388887,0.053091317,0.33789918,0.035893086,1.0547282,0.06974314
Bax,0.12840882,0.062284723,0.15175965,0.43147126,0.25788948,0.19938363,0.20059134,0.106477745,0.2726499,0.14644879,0.4118796,0.12848872
Fcgrt,0.0,0.034432437,0.0,0.63500154,0.09600333,0.0,0.05941236,0.020199288,0.26520616,0.6987916,0.15000844,0.04863723
Nkg7,1.072926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058662
Zfp600,0.14099915,0.06845924,0.09821825,0.31134868,0.040969476,0.0,0.09420166,0.0,0.2166034,0.037116658,0.0053242506,0.15721418
Zfp970,0.056489572,0.049190298,0.07343417,0.2764832,0.039585922,0.0,0.16620056,0.0,0.09728959,0.054296136,0.0,0.0634292
Myadm,0.087424174,0.0,0.13621148,0.35822016,0.3587262,0.11709489,0.25821516,0.0,0.5038627,0.37974343,0.122921206,0.14720652
Lair1,0.10981508,0.024970138,0.04458413,0.6789543,0.0,0.005435823,0.0,0.0,0.21288401,0.27828282,0.26568654,0.12897782
Pira2,0.5186965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kir3dl2,0.2816627,0.00097437046,0.0,0.018596118,0.021255078,0.012000587,0.022430545,0.0,0.11365373,0.0,0.0,0.0
Srxn1,0.13869856,0.0125163095,0.1743612,0.0,0.0,0.08393727,0.23479074,0.0,0.0590112,0.0,0.01413405,0.14699951
Tmx4,0.13304204,0.13106911,0.19443475,0.28364512,0.16153525,0.18253662,0.33228058,0.0,0.47731292,0.018404877,0.11174135,0.21328217
Plcb1,0.10488684,0.0,0.62145615,0.0076631773,0.0,0.0,0.0,0.0,0.0,0.26479873,0.0,0.4261903
Esf1,0.03596126,0.045487884,0.06782966,0.5863162,0.3334897,0.016249297,0.13788119,0.05380743,0.20514259,0.12935401,0.00445111,0.09289715
Rrbp1,0.15579104,0.007612737,0.1617,0.23490536,0.11379673,0.094641976,0.12636848,0.035886128,0.20634529,0.09303395,0.0,0.092348166
Cst3,0.20184371,0.010821661,0.0,0.0,0.0,0.0,0.0,0.0165084,0.045723464,0.26889282,0.014175429,0.059418816
Cst7,0.8076101,0.037914254,0.0,0.0,0.0,0.29881793,0.010803514,0.0,0.0,0.0,0.0,0.96966445
Apmap,0.330048,0.063303836,0.043124497,0.40347326,0.159465,0.05700475,0.1629911,0.0,0.29905295,0.10561167,0.06709924,0.36781272
Tox2,0.0,0.0,0.0,0.0,0.0,0.1520335,0.4988729,0.0,0.0,0.94390285,0.0,0.0
Dbndd2,0.028510528,0.10606952,0.010236429,0.3460431,0.008778182,0.0,0.15757845,0.029937422,0.23100087,0.102115154,0.30763057,0.057581656
Ctsa,0.004715776,0.09195798,0.36400726,0.32991272,0.120112084,0.22629803,0.18324505,0.015977101,0.70182914,0.0,0.06052907,0.0496123
Prex1,0.19217104,0.11036581,0.2786101,0.022309808,0.32553464,0.15522331,0.80077267,0.0607574,0.121248975,0.0,0.1432228,0.19746064
B4galt5,0.21777697,0.044037174,0.3004768,0.00020385654,0.026800917,0.13446915,0.06874667,0.06652612,0.0,0.0,0.025088178,0.14217189
Tshz2,0.0,0.0,0.0,0.9463997,0.4169667,0.020538418,0.48151508,0.0,0.09636931,0.0,0.0,0.0
Zbp1,0.11767637,0.0372872,0.09140529,0.1596032,0.0,0.17566305,0.025225444,0.56798667,0.32418177,0.0,0.0125567755,0.22144386
Sycp2,0.018073479,0.015903713,0.06161784,0.15558344,0.0,0.037276052,0.15630166,0.0,0.09934058,0.034312267,0.0,0.039500605
Helz2,0.021468261,0.011001666,0.04237988,0.09852083,0.0,0.13006987,0.11582404,0.8527491,0.08729787,0.07515105,0.0,0.0711759
Mir155hg,0.068578824,0.06964591,0.059454314,0.012569993,0.094101,0.057411257,0.16849372,0.031792127,0.13096279,0.056243185,0.01433029,0.08423877
Tiam1,0.0,0.1419585,0.0,0.67928475,0.025031803,0.043249134,0.4220047,0.0,0.35154855,0.08709332,0.0,0.0
Ifngr2,0.0,0.062487025,0.0,0.509836,0.8141133,0.0,0.0,0.0,0.23663656,0.007327156,0.15397072,0.0
Mx2,0.016120192,0.06123033,0.00812276,0.14961007,0.21262828,0.059380062,0.12550344,1.7069066,0.03308028,0.06250909,0.16051525,0.01680404
Aire,0.0,0.0,0.321941,0.0,0.0,0.3092819,0.0,0.0,0.21050678,0.0,0.0,0.0
Itgb2,0.31860632,0.0,0.0,0.41681516,0.0,0.22246243,0.23962085,0.023196472,0.36398557,0.22069412,0.21503434,0.2798252
Col18a1,0.0,0.0,0.0,0.7577289,0.0,0.0,0.0,0.0,0.0,0.025610276,0.56854874,0.0
Col6a2,0.113369636,0.0029449943,0.098022945,0.41356623,0.0268208,0.0,0.0,0.0,0.022330467,0.026558898,0.0,0.20814142
Pcnt,0.09358475,0.01616774,0.11177637,0.36104465,0.13872728,0.108543366,0.3241759,0.021475859,0.042197447,0.14874433,0.0,0.11238078
Dip2a,0.17404181,0.0635561,0.09302908,0.6522126,0.1618888,0.13180524,0.27228478,0.05104746,0.0,0.31828895,0.0,0.22059043
S100b,0.0025999183,0.0,0.0,0.37750444,0.0,0.0,0.0,0.0,0.0,0.084493734,0.0,0.0
Usp18,0.0030261371,0.0,0.0,0.0,0.10942476,0.0,0.0,1.543379,0.0,0.02674807,0.0,0.0035715986
Cldn5,0.0,0.0,0.0,0.0,0.8131473,0.0,0.0,0.0,0.0,0.25181127,0.0,0.0
Ypel1,0.17887256,0.008554857,0.028186973,0.030578967,0.023343194,0.079214945,0.11001101,0.0,0.013078371,0.07365208,0.009445963,0.21304071
Igll1,0.13795073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262631
2900026A02Rik,0.10346137,0.0,0.0,0.044463504,0.0,0.0045166286,0.19411664,0.0,0.008026304,0.08321409,0.0,0.06475445
Tpst2,0.37931073,0.021964177,0.0,0.19765776,0.0,0.23564428,0.34906033,0.0,0.31697294,0.107285276,0.026267095,0.28583828
Miat,0.22723287,0.0,0.0,0.0,0.0,0.33957297,0.61178935,0.0,0.012128608,0.0,0.0,0.14105456
Xbp1,0.19381507,0.0,0.16414101,0.44253066,0.6490319,0.027526865,0.0,0.013039454,0.32002524,0.17345963,0.34156442,0.22147855
Osm,0.027133914,0.0,0.30223975,0.0,0.33422908,0.0,0.0,0.0,0.11946956,0.0,0.2788908,0.0
Ywhah,0.11437981,0.06893843,0.6318055,0.10762644,0.060771037,0.25292394,0.502236,0.0,0.39229298,0.0,0.10636655,0.059657387
Apol6,0.09254001,0.025765622,0.060994197,0.49911383,0.081281066,0.1908439,0.31469384,0.3975603,0.2536603,0.08033284,0.0,0.18715812
Myh9,0.10943796,0.045438457,0.15418778,0.5428938,0.16068232,0.22253151,0.45527962,0.04873062,0.21153378,0.14942415,0.04402163,0.16960914
Ncf4,0.0,0.34594208,0.39949715,0.0,0.0,0.4494399,0.046876803,0.0,0.17835823,0.0,0.0,0.1435158
Il2rb,0.16330424,0.27916583,0.019443814,0.13420282,0.0,0.22093725,0.40357077,0.0,0.17889096,0.0,0.0,0.3612233
Lgals1,0.512286,0.0,0.25195792,0.0,0.0,0.70412904,0.0,0.0,1.0850836,0.0,0.0,0.0
Tnfrsf13c,0.0,0.14539412,0.0018287026,0.036999695,0.218206,0.0,0.098406106,0.0,0.0012734177,0.0,0.0,0.0
Cenpm,0.0053283013,0.094904594,0.030828219,0.0,0.110892326,0.139847,0.41063145,0.0,0.06393506,0.0,0.0,0.02280175
Prr5,0.19746204,0.06161341,0.46825498,0.3237455,0.04882068,0.18255775,0.044315796,0.10548548,0.0025209913,0.035638664,0.16935818,0.094109155
Fam118a,0.009520175,0.053463936,0.13871244,0.76722056,0.0,0.105705634,0.3806771,0.0,0.119229175,0.09557638,0.0,0.15269426
Ttc38,0.5307927,0.034280777,0.038278826,0.061718762,0.02399451,0.030826334,0.020738572,0.043238837,0.04081703,0.01320481,0.0,0.0
Pim3,0.0035615629,0.08464347,0.03603922,0.23861295,0.47007698,0.16611385,0.41707402,0.041864887,0.2704922,0.08959096,0.36323953,0.051332198
Tymp,0.0859977,0.0,0.2094667,0.0,0.0,0.46718383,0.2550102,0.74654233,0.3191761,0.0,0.0,0.047848705
Odf3b,0.0022347386,0.0,0.07226359,0.0,0.1605901,0.11584471,0.17441031,0.54369074,0.020539774,0.0,0.23836912,0.0
Cd99,0.29562873,0.04713681,0.0,0.14097337,0.018967858,0.2994293,0.2921318,0.07132043,0.79731375,0.037356354,0.1548695,0.2946759
Car5b,0.050312113,0.042522866,0.0111123,0.3504303,0.46788552,0.0,0.38220727,0.00022173683,0.37536272,0.050810274,0.4050902,0.07339955
Txlng,0.03264231,0.065120205,0.059471976,0.42660186,0.27768296,0.036375843,0.14181766,0.07642461,0.10426007,0.054862086,0.24987888,0.05739342
Sat1,0.08575527,0.10641954,0.065978594,0.336828,0.029533075,0.30955887,0.36486444,0.3693012,0.27767214,0.095823415,0.4267804,0.14249405
Cask,0.0,0.2489596,0.24055046,0.23279104,0.056635186,0.1591272,0.37609547,0.020501394,0.0,0.051652584,0.30562693,0.08553264
Chst7,0.0,0.11928305,0.0,0.0,0.0,0.48117843,0.3534162,0.0031788384,0.32901603,0.0,0.008026869,0.06372955
Slc9a7,0.0,0.110182844,0.0,0.10232713,0.034398206,0.04780035,0.15194112,0.013209588,0.07482532,0.065454856,0.0,0.0
Timp1,0.03092902,0.0,0.37495676,0.21218817,0.3543213,0.012399668,0.0,0.11312321,0.8685665,0.0,0.37883082,0.121675625
Pcsk1n,0.0,0.10582902,0.028614331,0.14597149,0.519409,0.0,0.0,0.0953454,0.6724847,0.0,0.0,0.0
Pim2,0.0,0.079041354,0.09265229,0.4456703,0.51510763,0.1217164,0.50942504,0.058276527,0.119567685,0.16503736,0.32197773,0.014794023
Plp2,0.0028334644,0.10764448,0.16589859,0.2901681,0.1724795,0.12004927,0.0769822,0.022074118,1.1196886,0.0,0.32401225,0.0
Foxp3,0.0,0.82228994,0.0,0.0,0.0,0.683229,0.0,0.0,0.0,0.0,0.0,0.0
Tspyl2,0.020414429,0.112522066,0.07002303,0.4813066,0.2106286,0.0,0.10329372,0.11282607,0.20035256,0.03914495,0.64099693,0.08172728
Eda,0.0,0.0,0.037905764,0.121820636,1.601057,0.0,0.0,0.0,0.027857449,0.0,0.0,0.0
Cxcr3,0.055638503,0.04100875,0.0,0.0,0.0,0.3098091,0.23629472,0.0,0.6299739,0.0,0.0,0.962271
Nhsl2,0.13943405,0.0,0.58322257,0.0,0.0,0.031791326,0.0,0.0,0.18596202,0.0,0.0,0.104568936
Tsix,0.027713146,0.0112600615,0.0,0.0,0.0,0.018699396,0.0,0.07529306,0.0,0.029356595,0.46626177,0.0
Xist,0.053277873,0.018669253,0.0,0.0,0.06687934,0.04073696,0.013598083,0.22467743,0.0,0.1589966,1.240556,0.0
Jpx,0.057911776,0.063048996,0.062288083,0.4669005,0.2803036,0.05065039,0.27117923,0.076621614,0.10718839,0.16925356,0.39700964,0.042994507
Gpr174,0.076106764,0.11454006,0.0,0.5119302,0.0,0.0,0.58003485,0.073409945,0.31469396,0.08534777,0.0,0.18022123
Itm2a,0.08357073,0.049530976,0.0,0.28459558,0.16403434,0.07890696,0.5693794,0.1164339,0.3206962,0.59010535,0.27875245,0.16106467
Hmgn5,0.014769462,0.0,0.026515696,0.21071637,0.10342806,0.0,0.0,0.015900718,0.078314334,0.078055725,0.06195595,0.013451292
Tsc22d3,0.082005925,0.09776342,0.021571377,0.22056675,0.19641642,0.11457176,0.15177134,0.24971081,0.29553765,0.03902876,0.7035801,0.09137594
Amot,0.05483197,0.024902811,0.017799344,0.11505984,0.0,0.009434628,0.011987697,0.0,0.1544432,0.009923039,0.0,0.0004983292
Sh2d1a,0.09611555,0.014819494,0.007874443,0.47795403,0.024328463,0.13578585,0.2978105,0.01355965,0.3086583,0.40336016,0.0,0.3752246
Tenm1,0.012969794,0.0,0.0,0.012759564,0.062977724,0.0,0.08739323,0.0,0.10497704,0.914339,0.0,0.0
Map7d3,0.022185275,0.006086729,0.07646417,0.24843676,0.21388043,0.028053766,0.15846364,0.006668852,0.25988734,0.0836665,0.0,0.1615289
Aff2,0.0,0.0,0.0,0.0,0.0,0.0,0.07384367,0.0,0.0,0.91548824,0.0,0.0
Pdzd4,0.20218265,0.0,0.13864112,0.0,0.028945653,0.0,0.0,0.0,0.2601915,0.07701931,0.0,0.15296993
Flna,0.32116634,0.07050923,0.30067867,0.26094598,0.15847912,0.35878584,0.49032065,0.092154816,0.34712675,0.043441884,0.042107057,0.19759369
Gab3,0.31550995,0.0,0.31237233,0.092433155,0.0,0.014037429,0.0,0.0,0.14597717,0.011418103,0.0,0.28669128
Rps4x,0.02058959,0.043842435,0.050318554,0.99249643,0.0,0.013316705,0.075597435,0.0,0.55136275,0.13629018,0.0,0.17931329
