,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11
Fbxl16,0.0,0.08742591,0.19840708,0.27161592,0.36922136,0.0,0.22183076,0.0,0.22536294,0.098213434,0.18548872,0.0
Antkmt,0.08408986,0.23457164,0.059206728,0.2630379,0.0,0.0,0.0,0.0,0.28777683,0.0,0.2676386,0.19743238
Prss21,0.04672998,0.007833826,0.037525356,0.16786858,0.09556315,0.0,1.2223454e-05,0.005691167,0.12724699,0.0,0.0017262744,0.039606802
Atf7ip2,0.010258885,0.0,0.18954198,0.6446764,0.22726169,0.15381236,0.08484005,0.008685761,0.0867472,0.40719563,0.25137737,0.13269024
Ciita,0.086371936,0.0,0.0,0.022598978,0.016886694,0.41950384,0.029743101,0.032278012,0.0,0.0,0.0,0.1066346
Socs1,0.03841851,0.01731781,0.0,0.090110645,0.6382258,0.033563316,0.057337116,0.22336793,0.0971729,0.05944821,0.7467216,0.032413594
Abcc1,0.015450532,0.14550443,0.059293002,0.28442153,0.69491965,0.07789319,0.47215068,0.057108693,0.0742497,0.04235342,0.01462051,0.027692998
Prkcb,0.17450388,0.06943154,0.08561998,0.46486259,0.10783349,0.0,0.6873472,0.0,0.10468266,0.15227409,0.303875,0.1372752
Il4ra,0.023766141,0.009195386,0.02102691,0.699269,0.65066105,0.06769983,0.0,0.0,0.33401325,0.174229,0.040973753,0.04385134
Spn,0.2697538,0.06275031,0.16770558,0.48046905,0.14787751,0.15649475,0.24698094,0.10945241,0.47243837,0.08609881,0.06512073,0.16167645
Itgal,0.25636116,0.03633672,0.055432484,0.4553101,0.065670624,0.1433996,0.4632898,0.06302688,0.29859257,0.13427809,0.0010712353,0.31661552
Tmem265,0.018904079,0.01320616,7.096161e-05,0.1274266,0.034260537,0.0,0.045201886,0.012437221,0.029479796,0.017680746,0.06473623,0.06428603
Itgam,0.6215574,0.0,0.06304013,0.0,0.0,0.032362264,0.0,0.0,0.0,0.0,0.0,0.0590166
Neto2,0.0,0.0,0.07249329,0.0,0.0,0.22125608,0.54461145,0.0,0.0,0.0,0.0,0.0
N4bp1,0.07867321,0.062862314,0.09725136,0.32871473,0.28966403,0.07031084,0.39634535,0.30844018,0.0,0.18912195,0.2506264,0.079585806
Chd9,0.10164782,0.042270936,0.17058644,0.48221087,0.064431004,0.06809035,0.14761263,0.0,0.21624652,0.20362194,0.0,0.31105843
Ces1b,0.5144443,0.0,0.0,0.0,0.0,0.01638385,0.0,0.0,0.0,0.0,0.0,0.0
Gnao1,0.1201478,0.0,0.0,0.0,0.0,0.0,0.15443741,0.0,0.26167214,0.0,0.0,0.1930321
Mt2,0.0818965,0.054045666,0.0,0.3269972,0.11501551,0.104515456,0.2536828,0.86290294,0.23418306,0.107400686,0.16945936,0.20444873
Herpud1,0.14185104,0.08088191,0.14834748,0.29756346,0.25591058,0.326513,0.12231582,0.043337736,0.41146383,0.12916347,0.215602,0.18098293
Cpne2,0.0,0.031699426,0.0,0.1734518,0.07443014,0.54771614,0.0,0.0,0.41141105,0.118620485,0.0,0.0
Adgrg5,0.45357352,0.0,0.076604255,0.0,0.0,0.0,0.0,0.0,0.0,0.03325698,0.0,0.106463715
Adgrg1,0.992839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tepp,0.0069138086,0.009562926,0.0025426701,0.18776608,0.08622566,0.0,0.0,0.0,0.1790109,0.0,0.0,0.011909776
Tradd,0.019323545,0.0069878395,0.12725572,0.0,0.54667085,0.0,0.51357377,0.120795585,0.8170273,0.009936286,0.3820956,0.14770424
Ctrl,0.0064676893,0.010084415,0.021974504,0.12870978,0.04406001,0.038756292,0.021982139,0.04393712,0.04723093,0.02419403,0.020120034,0.01812708
Smpd3,0.012993208,0.11614217,0.0,0.08236795,0.0,0.14989102,0.0,0.0,0.0,0.09255628,0.0,0.010656677
Sntb2,0.13350675,0.027281733,0.22391555,0.21375103,0.03425966,0.1828528,0.28204665,0.05740503,0.1387526,0.014426345,0.04576658,0.15961102
Maf,0.1494582,0.0,0.3821322,0.0,0.111532465,0.13425948,1.1788449,0.0,0.0,0.0,0.0,0.117017284
Cotl1,0.0,0.0,0.0,0.23726739,0.0,0.4215023,0.6257061,0.07376161,0.795448,0.12558645,0.21495338,0.17408723
Usp10,0.02229942,0.0,0.26484355,0.3979872,0.8868292,0.0065697692,0.3147212,8.866375e-05,0.39350727,0.020864904,0.055557206,0.0
Gse1,0.15202922,0.018319963,0.1482773,0.06456047,0.029338941,0.0,0.36067796,0.015726363,0.06203661,0.08745567,0.021563523,0.18578486
Zfpm1,0.14607191,0.043287426,0.06582621,0.34988353,0.25648138,0.054928884,0.19214422,0.037367955,0.0,0.17669587,0.37182626,0.024545886
